node_id,stop_no,stop_name,elev_m,slope_pct,slope_pct_raw
100000407,01902,대학로,30.536102,3.48741,2.766911
100000408,01903,창경궁,30.13608,5.6234603,4.461653
100000409,01904,창덕궁,34.115547,6.070167,4.8160706
100000410,01905,인사동.북촌,35.95891,12.004687,9.524519
100000411,01906,경복궁.국립민속박물관,38.93244,5.255945,4.1700673
100000412,01907,세종문화회관,31.931023,2.091772,1.659612
100000413,01297,남인사마당,27.4121,3.90086,3.0949423
100000414,01209,창덕궁.돈화문국악당,37.48535,5.5567827,4.408751
100000415,01119,영추문,41.098015,6.56799,5.211043
100000416,01601,청와대,44.932186,4.7865624,3.7976587
100000417,01602,춘추문,54.616837,14.389657,11.416754
100000418,01603,경복궁.국립민속박물관,38.822952,3.975346,3.1540396
100000419,01280,경복궁역(효자로입구),36.57389,8.760045,6.95022
103000089,04188,상원,17.060223,1.5206627,1.2064939
100000420,01604,효자로입구(가상),36.109367,3.0970263,2.4571807
100000421,01612,유림회관앞,43.404755,9.695599,7.6924877
100000422,01919,서울역사박물관.경희궁,40.200756,18.001257,14.282198
100900002,01863,경진빌라,114.007904,21.429012,17.00178
100900003,01532,혜화초등학교,38.699574,2.015574,1.5991564
100900004,01864,명륜시장.성대후문,53.55317,8.515835,6.7564635
100900005,01530,오거리.한옥마을입구,42.71099,2.5478017,2.021426
100900006,01865,완성빌라,133.98636,13.301381,10.553316
100900007,01529,삼청파출소,44.15068,0.6309531,0.5005982
100900008,01866,양현관,64.47379,10.766007,8.54175
100900009,01528,종로5가입구,32.130596,10.22624,8.1135
100900010,01868,상명대후문,136.26228,11.920832,9.457988
100900011,01526,원서고개,60.757954,3.2928076,2.6125135
100900012,01869,샘미용실.종로구청소년상담복지센터,71.89478,15.661455,12.425798
100900013,01524,창신쌍용2단지.한성대후문,95.17309,11.112707,8.816822
100900014,01870,산정빌라,112.035866,24.417389,19.372757
100900015,01523,경희궁자이2.3단지,41.65895,2.0049143,1.590699
100900016,01522,오거리,130.58133,19.283289,15.299361
100900017,01521,국민생활관,44.578842,6.2492285,4.958138
100900018,01872,구기빌라,96.04167,8.56122,6.792472
100900019,01873,마트앞,89.21143,13.778103,10.931547
100900020,01519,통인시장,46.10714,2.3321795,1.8503512
100900021,01520,양현관,68.061134,13.024642,10.333752
100900022,01874,국민은행.세검정지점,80.21973,2.4302478,1.9281586
100900024,01518,삼청동주민센터,47.49186,8.713004,6.9128976
100900025,01517,세검초등학교,78.37383,8.0443535,6.3823905
100900026,01516,빨래터.고희동미술관,43.864174,6.301074,4.9992723
100900027,01876,혜화역4번출구,33.02949,4.943652,3.9222934
100900028,01877,방송통신대앞,31.017536,8.578801,6.8064213
100900029,01513,화정박물관,88.255974,14.211383,11.2753105
100900030,01878,서울대치과대학,35.173542,5.8814106,4.6663113
100900031,01512,서울국제고등학교,50.978336,9.833818,7.8021517
100900032,01511,샘미용실.종로구청소년상담복지센터,78.10249,18.634392,14.784526
100900033,01879,효제초교.연동교회.김마리아활동터,23.058994,5.728749,4.5451894
100900034,01510,박노수미술관,50.09213,5.76671,4.5753074
100900035,01509,금융연수원,51.69177,2.202485,1.7474518
100900036,01508,화정박물관,92.78805,21.896437,17.372633
100900037,01507,인사미술공간.세탁소,42.57607,9.868307,7.829515
100900038,01883,서울대치과대학,35.606525,4.8534565,3.8507326
100900039,01506,낙산공원,115.46343,14.275779,11.326403
100900040,01503,명륜3가종점,89.96251,23.660454,18.772205
100900041,01502,수성동계곡,65.167915,8.794789,6.9777856
100900042,01887,서울대학교병원현관.암병원현관,40.171227,6.302039,5.0000377
100900043,01886,이화사거리,33.207947,9.670721,7.67275
100900044,01505,서대문역3번출구,37.906315,3.8984914,3.093063
100900045,01525,통일부,97.987755,13.504549,10.714509
100900046,01531,명륜시장.성대후문,51.892654,11.581062,9.188416
100900047,01500,평창파출소,89.66119,11.657203,9.248825
100900048,01564,가회동주민센터,41.641987,5.5326357,4.389593
100900049,01562,독립문초등학교,58.93997,15.671336,12.433638
100900050,01561,아름다운실버,168.14731,32.219097,25.56263
100900051,01558,창덕궁,33.993404,2.7040086,2.1453602
100900052,01556,북촌한옥마을입구.정세권활동터,44.5138,2.7728574,2.199985
100900053,01555,청룡사.보문파크뷰자이아파트,59.49661,10.986594,8.7167635
100900054,01553,소나무집,167.16225,33.46683,26.552582
100900056,01551,경복궁,38.470997,4.6937757,3.7240417
100900057,01550,종로3가역9번출구,30.23964,9.886149,7.843671
100900058,01548,안국선원.삼거리,50.289898,9.931712,7.8798203
100900059,01547,사우디대사관앞.북촌힐스,57.24112,10.330975,8.196595
100900060,01546,종로센트레빌후문.e편한세상보문아파트,76.651024,4.807732,3.8144546
100900061,01545,경희궁자이4단지,49.512512,5.115926,4.058975
100900062,01544,언덕앞,160.20837,31.746092,25.18735
100900063,01543,혜화우체국,39.625603,6.8239965,5.414159
100900064,01542,새마을금고,47.583523,4.36576,3.4637938
100900065,01541,광화문새마을금고,41.38235,2.6527367,2.1046813
100900066,01539,종로4가.종묘공원,22.909227,3.3063776,2.62328
100900067,01538,인왕빌딩,93.15287,4.8353047,3.8363307
100900068,01537,중앙중고,53.412987,11.260657,8.934206
100900069,01536,감사원,87.321365,6.886432,5.4636955
100900070,01535,명신초.삼선푸르지오.힐스테이트,85.43661,14.010239,11.115724
100900071,01534,영천시장,43.732616,4.4692264,3.5458841
100900072,01533,청련사입구,149.27481,13.721328,10.886501
100900073,01594,한국사회과학도서관.이회영기념관,83.550865,15.006424,11.906096
100900074,01593,감나무골공원,192.20123,14.699167,11.662319
100900075,01592,혜화역1번출구,31.69717,2.0778756,1.6485866
100900076,01591,서울대병원장례식장,45.335873,18.644093,14.792224
